"medcode"	"Term"	"OriginalReadCode"	"CleansedReadCode"	"Group"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"databaserelease"
"16347"	"Bipolar affect disord, currently manic, severe, no psychosis"	"E1143"	"E114300"	"bipolar"	38	0	1	0	"February 2009"
"1915"	"Delusions"	"1BH"	"1BH..00"	"other psychosis"	14854	0	1639	1	"February 2009"
"35848"	"[X]Simple schizophrenia"	"Eu206"	"Eu20600"	"schizophrenia"	233	0	6	0	"February 2009"
"66410"	"Latent schizophrenia"	"E105"	"E105.00"	"other psychosis"	26	0	0	0	"February 2009"
"101720"	"[X]Paranoid state in remission"	"Eu223"	"Eu22300"	"other psychosis"	2289	0	3	0	"February 2011"
"85972"	"Psychosis resolved"	"212X"	"212X.00"	"other psychosis"	431	0	0	0	"February 2009"
"28277"	"[X]Bipolar affect disorder cur epi manic with psychotic symp"	"Eu312"	"Eu31200"	"bipolar"	221	0	1	0	"February 2009"
"4732"	"[X]Bipolar affect dis cur epi severe depres with psyc symp"	"Eu315"	"Eu31500"	"bipolar"	145	0	2	1	"February 2009"
"33751"	"[X]Bipolar affective disorder, unspecified"	"Eu31z"	"Eu31z00"	"bipolar"	969	0	5	0	"February 2009"
"12173"	"[X]Manic episode"	"Eu30"	"Eu30.00"	"bipolar"	3842	0	64	0	"February 2009"
"21595"	"[X]Acute polymorphic psychot disord with symp of schizophren"	"Eu231"	"Eu23100"	"other psychosis"	214	0	1	0	"February 2009"
"58862"	"Unspecified schizo-affective schizophrenia"	"E1070"	"E107000"	"other psychosis"	199	0	1	0	"February 2009"
"58716"	"Unspecified catatonic schizophrenia"	"E1020"	"E102000"	"schizophrenia"	6	0	0	0	"February 2009"
"20110"	"Single manic episode, unspecified"	"E1100"	"E110000"	"bipolar"	1193	0	217	0	"February 2009"
"50060"	"[X]Paraphrenic schizophrenia"	"Eu200-1"	"Eu20011"	"schizophrenia"	24	0	0	0	"February 2009"
"12472"	"O/E - paranoid delusions"	"225E"	"225E.00"	"other psychosis"	1402	0	73	0	"February 2009"
"28677"	"[X]Manic-depress psychosis,depressed type+psychotic symptoms"	"Eu333-2"	"Eu33312"	"bipolar"	159	0	1	0	"February 2009"
"26119"	"Other reactive psychoses NOS"	"E13yz"	"E13yz00"	"other psychosis"	86	0	0	0	"February 2009"
"99070"	"Coenesthopathic schizophrenia"	"E10y1"	"E10y100"	"schizophrenia"	1	0	0	0	"April 2010"
"57666"	"Acute exacerbation of subchronic schizophrenia"	"E1003"	"E100300"	"schizophrenia"	20	0	0	0	"February 2009"
"41022"	"[X]Schizophreniform psychosis, depressive type"	"Eu251-2"	"Eu25112"	"other psychosis"	61	0	1	0	"February 2009"
"50248"	"[X]Involutional paranoid state"	"Eu22y-2"	"Eu22y12"	"other psychosis"	22	0	0	0	"February 2009"
"66506"	"Unspecified hebephrenic schizophrenia"	"E1010"	"E101000"	"schizophrenia"	2	0	0	0	"February 2009"
"30282"	"Profile of mood states, bipolar"	"ZRby100"	"ZRby100"	"bipolar"	384	0	48	0	"February 2009"
"58532"	"[X]Other schizoaffective disorders"	"Eu25y"	"Eu25y00"	"other psychosis"	76	0	0	0	"February 2009"
"30688"	"[X]Mixed affective episode"	"Eu3y0-1"	"Eu3y011"	"bipolar"	333	0	6	0	"February 2009"
